id;titel;description;price;releaseDate
77;Superhot;Innovativer Shooter, bei dem Zeit nur läuft, wenn du dich bewegst.;24.99;1456354800000
78;Hotline Miami;Rasanter Top-Down-Shooter.;9.99;1350943200000
79;Baba Is You;Kreatives Puzzle-Spiel mit Regeln.;12.49;1552431600000
80;Factorio;Baue und automatisiere Fabriken.;25.0;1597356000000
81;RimWorld;Kolonie-Simulation mit Storytelling.;32.99;1539727200000
82;Cities: Skylines;Städtebau-Simulation.;27.99;1425942000000
83;Planet Zoo;Zoo-Management-Simulation.;44.99;1572908400000
84;The Forest;Survival-Horror im Wald.;16.79;1525039200000
85;Phasmophobia;Kooperatives Geisterjäger-Spiel.;13.99;1600380000000
86;Raft;Überlebe auf einem Floß im Ozean.;19.99;1527026400000
87;Valheim;Wikinger-Survival in prozeduraler Welt.;16.79;1612220400000
88;Satisfactory;Fabrikbau in 3D.;29.99;1591567200000
89;Deep Rock Galactic;Koop-Shooter mit Zwergen.;29.99;1589320800000
90;Grounded;Überlebe als Miniaturmensch im Garten.;29.99;1664229600000
91;It Takes Two;Kooperatives Abenteuer für zwei Spieler.;39.99;1616713200000
92;A Way Out;Kooperatives Gefängnisausbruch-Abenteuer.;29.99;1521759600000
93;Portal;Innovatives Puzzle-Spiel mit Portalen.;9.99;1191967200000
94;Left 4 Dead 2;Koop-Zombie-Shooter.;9.99;1258412400000
95;Payday 2;Koop-Heist-Shooter.;9.99;1376344800000
96;Arma 3;Militär-Simulation mit riesigen Karten.;29.99;1378936800000
97;Euro Truck Simulator 2;Fahre LKWs durch Europa.;19.99;1350597600000
98;Microsoft Flight Simulator;Realistische Flugsimulation.;69.99;1597701600000
99;Farming Simulator 22;Landwirtschafts-Simulation.;39.99;1637535600000
100;The Binding of Isaac: Rebirth;Rogue-like mit zufälligen Dungeons.;14.99;1415055600000
